Dictionary Size,Cost,Bias,Solver,Mean Accuracy
1024,0.01,-1,0,61.95
1024,0.1,-1,0,66.95
1024,1,-1,0,75.39
1024,10,-1,0,79.54
1024,100,-1,0,79.8
1024,0.01,-1,1,66.35
1024,0.1,-1,1,74.67
1024,1,-1,1,79.07
1024,10,-1,1,79.2
1024,100,-1,1,79.08
1024,0.01,-1,2,66.39
1024,0.1,-1,2,74.67
1024,1,-1,2,79.02
1024,10,-1,2,79.1
1024,100,-1,2,79.21
1024,0.01,-1,3,54.81
1024,0.1,-1,3,69.04
1024,1,-1,3,75.37
1024,10,-1,3,79.02
1024,100,-1,3,79.02
1024,0.01,-1,4,70.7
1024,0.1,-1,4,71
1024,1,-1,4,79.04
1024,10,-1,4,79.88
1024,100,-1,4,79.88
1024,0.01,-1,5,6.67
1024,0.1,-1,5,42.12
1024,1,-1,5,63.61
1024,10,-1,5,68.71
1024,100,-1,5,68.21
1024,0.01,1,0,61.7
1024,0.1,1,0,66.31
1024,1,1,0,75.44
1024,10,1,0,79.3
1024,100,1,0,79.92
1024,0.01,1,1,65.95
1024,0.1,1,1,74.91
1024,1,1,1,79.54
1024,10,1,1,79.73
1024,100,1,1,79.73
1024,0.01,1,2,66.04
1024,0.1,1,2,74.88
1024,1,1,2,79.68
1024,10,1,2,79.63
1024,100,1,2,79.57
1024,0.01,1,3,51
1024,0.1,1,3,70.97
1024,1,1,3,75.46
1024,10,1,3,79.72
1024,100,1,3,79.72
1024,0.01,1,4,64.11
1024,0.1,1,4,71.3
1024,1,1,4,79.98
1024,10,1,4,80.12
1024,100,1,4,80.12
1024,0.01,1,5,6.67
1024,0.1,1,5,10.86
1024,1,1,5,62.6
1024,10,1,5,68.55
1024,100,1,5,67.02
2048,0.01,-1,0,61.91
2048,0.1,-1,0,67.02
2048,1,-1,0,75.55
2048,10,-1,0,79.48
2048,100,-1,0,80.1
2048,0.01,-1,1,66.89
2048,0.1,-1,1,75.25
2048,1,-1,1,79.64
2048,10,-1,1,80
2048,100,-1,1,80.14
2048,0.01,-1,2,66.85
2048,0.1,-1,2,75.18
2048,1,-1,2,79.63
2048,10,-1,2,80.2
2048,100,-1,2,80.25
2048,0.01,-1,3,55.27
2048,0.1,-1,3,68.96
2048,1,-1,3,76.4
2048,10,-1,3,80.05
2048,100,-1,3,80.05
2048,0.01,-1,4,70.64
2048,0.1,-1,4,70.75
2048,1,-1,4,80.3
2048,10,-1,4,80.71
2048,100,-1,4,80.71
2048,0.01,-1,5,6.67
2048,0.1,-1,5,47.77
2048,1,-1,5,62.87
2048,10,-1,5,68.19
2048,100,-1,5,67.34
2048,0.01,1,0,61.92
2048,0.1,1,0,66.56
2048,1,1,0,75.47
2048,10,1,0,79.71
2048,100,1,0,80.58
2048,0.01,1,1,66.19
2048,0.1,1,1,75.15
2048,1,1,1,80.13
2048,10,1,1,80.86
2048,100,1,1,80.87
2048,0.01,1,2,66.3
2048,0.1,1,2,75.22
2048,1,1,2,80.04
2048,10,1,2,80.8
2048,100,1,2,80.42
2048,0.01,1,3,57.78
2048,0.1,1,3,71.06
2048,1,1,3,76.84
2048,10,1,3,81.14
2048,100,1,3,81.14
2048,0.01,1,4,68.91
2048,0.1,1,4,70.15
2048,1,1,4,80.27
2048,10,1,4,80.66
2048,100,1,4,80.66
2048,0.01,1,5,6.67
2048,0.1,1,5,6.67
2048,1,1,5,60.59
2048,10,1,5,68.96
2048,100,1,5,66.63